event,pace,distance
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.15,21.1
Half,5.133333333,21.1
Half,5.133333333,21.1
Half,5.15,21.1
Half,5.166666667,21.1
Half,5.15,21.1
Half,5.15,21.1
Half,5.15,21.1
Half,5.166666667,21.1
Half,5.15,21.1
Half,5.166666667,21.1
Half,5.183333333,21.1
Half,5.183333333,21.1
Half,5.15,21.1
Half,5.15,21.1
Half,5.183333333,21.1
Half,5.133333333,21.1
Half,5.2,21.1
Half,5.2,21.1
Half,5.2,21.1
Half,5.216666667,21.1
Half,5.2,21.1
Half,5.183333333,21.1
Half,5.216666667,21.1
Half,5.2,21.1
Half,5.233333333,21.1
Half,5.2,21.1
Half,5.2,21.1
Half,5.233333333,21.1
Half,5.25,21.1
Half,5.25,21.1
Half,5.233333333,21.1
Half,5.25,21.1
Half,5.233333333,21.1
Half,5.233333333,21.1
Half,5.233333333,21.1
Half,5.25,21.1
Half,5.233333333,21.1
Half,5.216666667,21.1
Half,5.183333333,21.1
Half,5.283333333,21.1
Half,5.2,21.1
Half,5.266666667,21.1
Half,5.266666667,21.1
Half,5.25,21.1
Half,5.283333333,21.1
Half,5.266666667,21.1
Half,5.283333333,21.1
Half,5.266666667,21.1
Half,5.3,21.1
Half,5.283333333,21.1
Half,5.283333333,21.1
Half,5.3,21.1
Half,5.283333333,21.1
Half,5.3,21.1
Half,5.3,21.1
Half,5.316666667,21.1
Half,5.316666667,21.1
Half,5.316666667,21.1
Half,5.3,21.1
Half,5.3,21.1
Half,5.316666667,21.1
Half,5.3,21.1
Half,5.333333333,21.1
Half,5.283333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.333333333,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.316666667,21.1
Half,5.333333333,21.1
Half,5.3,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.333333333,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.35,21.1
Half,5.35,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.383333333,21.1
Half,5.366666667,21.1
Half,5.366666667,21.1
Half,5.383333333,21.1
Half,5.366666667,21.1
Half,5.383333333,21.1
Half,5.333333333,21.1
Half,5.383333333,21.1
Half,5.4,21.1
Half,5.4,21.1
Half,5.416666667,21.1
Half,5.4,21.1
Half,5.4,21.1
Half,5.4,21.1
Half,5.433333333,21.1
Half,5.416666667,21.1
